iter	Logloss
0	0.6868725469
1	0.6807812245
2	0.6748548302
3	0.6690786795
4	0.6632872552
5	0.6577734975
6	0.6523845391
7	0.6470866443
8	0.6419271588
9	0.6368960697
10	0.6319781576
11	0.6271290891
12	0.6224223127
13	0.6178307437
14	0.6133307609
15	0.6089446385
16	0.6045610167
17	0.6003639859
18	0.5961386907
19	0.5921132652
20	0.5881406725
21	0.5843204805
22	0.5805852887
23	0.5769259778
24	0.5733605548
25	0.5698754153
26	0.5664636866
27	0.5631349476
28	0.5598805503
29	0.5567011827
30	0.5535698514
31	0.5505154323
32	0.5475295809
33	0.5446229039
34	0.5417888672
35	0.5389894334
36	0.5362723144
37	0.5336144473
38	0.5310237966
39	0.5284967779
40	0.5260269953
41	0.5236109755
42	0.5212517311
43	0.5189458697
44	0.516692164
45	0.5144122695
46	0.5122597387
47	0.5101385287
48	0.5080769759
49	0.5060656221
50	0.5040117853
51	0.502090893
52	0.5002096654
53	0.4983747493
54	0.4965645228
55	0.4947796476
56	0.4930598873
57	0.4913802573
58	0.4897434901
59	0.4881435395
60	0.4865714632
61	0.4850425458
62	0.4835478959
63	0.482086725
64	0.4806293391
65	0.4792328105
66	0.4778527513
67	0.4765180525
68	0.4752077357
69	0.473904652
70	0.4726573206
71	0.4714352187
72	0.4702348921
73	0.4690406759
74	0.4678995128
75	0.4667795917
76	0.4656782225
77	0.4645374287
78	0.4634069202
79	0.4623821169
80	0.4613334506
81	0.4603605489
82	0.4594055132
83	0.4584681926
84	0.4575507995
85	0.4566610918
86	0.4557823482
87	0.4549313271
88	0.4540992032
89	0.4532602134
90	0.4524420785
91	0.4516393113
92	0.450846513
93	0.4500920033
94	0.4493209061
95	0.4486091446
96	0.4479096233
97	0.4472197048
98	0.4465365344
99	0.445885136
100	0.4452479634
101	0.4446246962
102	0.4439796295
103	0.4433833204
104	0.4427961521
105	0.4422242088
106	0.4416652197
107	0.4411061493
108	0.440569456
109	0.440037942
110	0.4394553132
111	0.4389554451
112	0.4384651028
113	0.4379835638
114	0.4375074605
115	0.4370403481
116	0.4365923225
117	0.4360739333
118	0.4356448928
119	0.4352255336
120	0.4347924033
121	0.434390912
122	0.4339829545
123	0.4335098666
124	0.4331261858
125	0.4327557137
126	0.4323809778
127	0.4320252033
128	0.4316720176
129	0.4313348952
130	0.4310049898
131	0.4306821425
132	0.4303647078
133	0.4300070242
134	0.4297043446
135	0.4293797493
136	0.4290901157
137	0.428796701
138	0.4284953519
139	0.4282209558
140	0.4279185058
141	0.4276563078
142	0.4274019483
143	0.427152992
144	0.4268766754
145	0.4265571385
146	0.4263203114
147	0.4260842297
148	0.4258608576
149	0.4256239727
150	0.4253937828
151	0.4251460168
152	0.4248714994
153	0.4246710649
154	0.4244430691
155	0.4242511405
156	0.4240615445
157	0.4238774498
158	0.4236675311
159	0.4234863355
160	0.4233125283
161	0.423143638
162	0.4229348713
163	0.4227355875
164	0.4225639975
165	0.4224070582
166	0.4222205305
167	0.4220707995
168	0.4218317573
169	0.4216833208
170	0.4215442001
171	0.4214077667
172	0.421274407
173	0.4210773438
174	0.4209408123
175	0.4207943094
176	0.4205653774
177	0.4204457232
178	0.4203285663
179	0.4202138527
180	0.4201015491
181	0.4199542166
182	0.4198437752
183	0.4196277697
184	0.419524748
185	0.4194238695
186	0.4193250889
187	0.4190973866
188	0.4188900336
189	0.418797642
190	0.418693199
191	0.4185274035
192	0.4183451595
193	0.4182233925
194	0.4180853167
195	0.4180041792
196	0.4178162347
197	0.4177075147
198	0.417511992
199	0.4174374992
200	0.4173647179
201	0.4172916024
202	0.4172202371
203	0.4171376195
204	0.4170706899
205	0.4169068669
206	0.416701703
207	0.4166391116
208	0.4165778108
209	0.4165177736
210	0.4164200506
211	0.4163625043
212	0.4163061431
213	0.4162460441
214	0.4161919854
215	0.4161351688
216	0.416063027
217	0.4160122645
218	0.4159624808
219	0.4159130455
220	0.4158646182
221	0.4157291633
222	0.4156752377
223	0.4156305083
224	0.4155842834
225	0.4155413733
226	0.4154397358
227	0.4153498075
228	0.4152443024
229	0.4151903795
230	0.415105622
231	0.4150308123
232	0.4149882236
233	0.4148152975
234	0.4146771618
235	0.4145048586
236	0.4144697312
237	0.4143909982
238	0.414239604
239	0.4140980451
240	0.4140460708
241	0.4139333699
242	0.4139038773
243	0.4137258773
244	0.4136297109
245	0.4136021018
246	0.4134703696
247	0.4132938853
248	0.4132681691
249	0.4132429769
250	0.4132149068
251	0.4131046592
252	0.4130722273
253	0.4130490886
254	0.4128733804
255	0.4127480189
256	0.4126597914
257	0.412608689
258	0.4125291939
259	0.4124038864
260	0.4123545934
261	0.4123352955
262	0.4123161858
263	0.412294271
264	0.4122531744
265	0.4122273025
266	0.4121784847
267	0.4120087603
268	0.4119388208
269	0.4118585063
270	0.411630499
271	0.4115026633
272	0.4113936067
273	0.4113789436
274	0.4113310499
275	0.4113076088
276	0.4112190149
277	0.4111512781
278	0.4110942993
279	0.4110791558
280	0.4109663762
281	0.4108083484
282	0.4107899506
283	0.4106548111
284	0.4105924727
285	0.410579021
286	0.4103689808
287	0.4102923629
288	0.4101628858
289	0.4101525391
290	0.4100603664
291	0.4100486284
292	0.4099789043
293	0.4098930012
294	0.4098005422
295	0.4097856236
296	0.409692639
297	0.4095962155
