iter	Passed	Remaining
265	8249	38271
266	8286	38267
267	8326	38275
268	8348	38205
269	8387	38208
270	8396	38079
271	8407	37958
272	8444	37952
273	8467	37887
274	8507	37898
275	8543	37887
276	8582	37893
277	8603	37819
278	8642	37823
279	8679	37817
280	8722	37837
281	8761	37842
282	8795	37824
283	8836	37835
284	8876	37842
285	8917	37850
286	8957	37859
287	8996	37862
288	9018	37790
289	9058	37795
290	9071	37687
291	9106	37673
292	9123	37584
293	9160	37577
294	9202	37591
295	9226	37530
296	9264	37524
297	9295	37492
298	9332	37485
299	9347	37390
300	9387	37392
301	9425	37389
302	9465	37392
303	9481	37300
304	9534	37355
305	9550	37267
306	9576	37215
307	9618	37225
308	9658	37227
309	9706	37262
310	9750	37275
311	9774	37219
312	9813	37217
313	9852	37213
314	9893	37217
315	9933	37220
316	9952	37140
317	9998	37163
318	10037	37162
319	10083	37182
320	10133	37219
321	10139	37095
322	10175	37079
323	10215	37078
324	10259	37090
325	10295	37076
326	10337	37080
327	10382	37098
328	10427	37114
329	10469	37120
330	10520	37154
331	10564	37164
332	10575	37062
333	10620	37074
334	10662	37080
335	10708	37098
336	10750	37100
337	10793	37105
338	10838	37119
339	10879	37118
340	10926	37135
341	10968	37139
342	10999	37102
343	11024	37047
344	11044	36974
345	11086	36977
346	11132	36990
347	11177	37000
348	11217	36995
349	11259	36994
350	11302	36997
351	11326	36940
352	11370	36946
353	11412	36946
354	11449	36929
355	11492	36929
356	11519	36881
357	11559	36872
358	11603	36877
359	11642	36869
360	11682	36859
361	11719	36841
362	11766	36854
363	11806	36847
364	11816	36744
365	11857	36737
366	11893	36717
367	11944	36742
368	11969	36687
369	12015	36694
370	12041	36642
371	12083	36641
372	12129	36648
373	12170	36641
374	12207	36623
375	12252	36628
376	12290	36610
377	12326	36587
378	12349	36525
379	12370	36460
380	12407	36440
381	12447	36430
382	12492	36432
383	12529	36412
384	12558	36370
385	12598	36359
386	12637	36344
387	12663	36293
388	12693	36253
389	12734	36243
390	12768	36216
391	12810	36208
392	12850	36198
393	12888	36178
394	12926	36162
395	12965	36144
396	13000	36118
397	13041	36109
398	13077	36086
399	13124	36092
400	13161	36070
401	13201	36056
402	13240	36041
403	13278	36022
404	13323	36021
405	13362	36006
406	13404	35997
407	13446	35990
408	13489	35982
409	13533	35979
410	13579	35980
411	13596	35905
412	13635	35887
413	13682	35891
414	13728	35893
415	13745	35816
416	13790	35814
417	13830	35800
418	13844	35719
419	13868	35661
420	13915	35665
421	13949	35633
422	13990	35621
423	14006	35543
424	14044	35525
425	14083	35505
426	14117	35476
427	14140	35416
428	14163	35359
429	14179	35284
430	14196	35211
431	14222	35160
432	14235	35078
433	14274	35060
434	14315	35047
435	14361	35046
436	14388	35000
437	14430	34989
438	14474	34981
439	14501	34936
440	14544	34927
441	14568	34872
442	14610	34859
443	14652	34848
444	14689	34825
445	14731	34813
446	14773	34802
447	14791	34733
448	14830	34714
449	14878	34715
450	14919	34701
451	14958	34683
452	15002	34674
453	15042	34657
454	15051	34568
455	15067	34496
456	15109	34483
457	15158	34486
458	15191	34454
459	15233	34441
460	15273	34423
461	15311	34401
462	15348	34377
463	15387	34357
464	15407	34295
465	15424	34224
466	15469	34217
467	15513	34208
468	15553	34191
469	15604	34196
470	15648	34187
471	15676	34143
472	15720	34133
473	15759	34112
474	15801	34097
475	15871	34144
476	15920	34143
477	15950	34104
478	15979	34060
479	16032	34068
480	16076	34059
481	16125	34057
482	16169	34046
483	16221	34052
484	16266	34042
485	16314	34038
486	16358	34027
487	16378	33965
488	16419	33948
489	16447	33901
490	16486	33878
491	16501	33808
492	16546	33797
493	16597	33800
494	16647	33798
495	16699	33802
496	16734	33771
497	16783	33770
498	16833	33767
499	16865	33731
500	16922	33742
501	16974	33746
502	17018	33733
503	17071	33736
504	17122	33737
505	17182	33753
506	17228	33744
507	17252	33689
508	17295	33672
509	17340	33661
510	17371	33621
511	17420	33615
512	17472	33616
513	17523	33614
514	17565	33596
515	17613	33588
516	17662	33582
517	17710	33575
518	17747	33545
519	17785	33518
520	17810	33466
521	17851	33445
522	17898	33434
523	17950	33434
524	17997	33423
525	18043	33410
526	18079	33380
527	18128	33372
528	18172	33356
529	18217	33341
530	18255	33314
531	18303	33304
532	18328	33253
533	18365	33223
534	18410	33207
535	18449	33181
536	18495	33167
537	18507	33092
538	18552	33078
539	18597	33061
540	18637	33037
541	18664	32989
542	18693	32946
543	18737	32928
544	18782	32913
545	18826	32894
546	18857	32854
547	18902	32837
548	18956	32837
549	18971	32769
550	19015	32750
551	19036	32693
552	19082	32678
553	19103	32621
554	19147	32602
555	19187	32578
556	19238	32571
557	19280	32549
558	19325	32532
559	19371	32516
560	19411	32491
561	19459	32478
562	19499	32453
563	19530	32412
564	19575	32395
565	19617	32371
566	19666	32361
567	19686	32302
568	19727	32278
569	19751	32225
570	19797	32209
571	19842	32191
572	19891	32179
573	19923	32141
574	19969	32124
575	20015	32108
576	20063	32094
577	20086	32041
578	20134	32028
579	20147	31958
580	20197	31947
581	20231	31911
582	20278	31896
583	20324	31879
584	20372	31864
585	20388	31801
586	20410	31746
587	20463	31739
588	20526	31747
589	20565	31719
590	20611	31701
591	20655	31680
592	20697	31656
593	20742	31636
594	20782	31609
595	20819	31579
596	20859	31551
597	20895	31517
598	20936	31491
599	20975	31463
600	21018	31440
601	21059	31414
602	21103	31392
603	21135	31353
604	21183	31338
605	21225	31312
606	21261	31279
607	21307	31259
608	21351	31238
609	21384	31200
610	21415	31158
611	21458	31136
612	21476	31075
613	21495	31018
614	21526	30976
615	21562	30943
616	21604	30917
617	21642	30887
618	21682	30860
619	21700	30800
620	21740	30772
621	21757	30712
622	21795	30682
623	21837	30656
624	21854	30596
625	21894	30568
626	21934	30539
627	21975	30514
628	21999	30463
629	22038	30433
630	22076	30402
631	22135	30401
632	22183	30384
633	22227	30361
634	22271	30338
635	22314	30314
636	22351	30281
637	22394	30257
638	22410	30196
639	22451	30169
640	22478	30123
641	22515	30091
642	22552	30058
643	22593	30031
644	22635	30005
645	22673	29973
646	22709	29940
647	22752	29915
648	22766	29851
649	22794	29808
650	22832	29777
651	22848	29716
652	22894	29696
653	22923	29653
654	22970	29633
655	22990	29579
656	23017	29533
657	23058	29506
658	23103	29484
659	23148	29461
660	23163	29401
661	23180	29343
662	23222	29316
663	23264	29290
664	23309	29268
665	23338	29225
666	23362	29177
667	23407	29153
668	23444	29122
669	23488	29097
670	23515	29052
671	23557	29025
672	23572	28966
673	23617	28943
674	23661	28919
675	23704	28894
676	23722	28838
677	23760	28807
678	23801	28778
679	23844	28753
680	23886	28727
681	23927	28699
682	23967	28670
683	23978	28606
684	24020	28579
685	24041	28527
686	24083	28500
687	24122	28470
688	24166	28445
689	24184	28389
690	24221	28358
691	24263	28330
692	24303	28301
693	24342	28270
694	24382	28241
695	24424	28214
696	24450	28169
697	24489	28137
698	24517	28094
699	24532	28037
700	24570	28005
701	24613	27979
702	24651	27948
703	24699	27927
704	24712	27867
705	24760	27846
706	24806	27824
707	24853	27802
708	24892	27771
709	24937	27747
710	24981	27722
711	25023	27694
712	25067	27669
713	25109	27641
714	25157	27620
715	25206	27600
716	25248	27572
717	25260	27512
718	25302	27484
719	25323	27434
720	25364	27405
721	25407	27378
722	25444	27344
723	25485	27316
724	25520	27280
725	25564	27254
726	25608	27228
727	25648	27198
728	25685	27165
729	25726	27135
730	25769	27109
731	25809	27079
732	25852	27051
733	25867	26995
734	25913	26970
735	25956	26943
736	26003	26920
737	26028	26875
738	26064	26840
739	26106	26811
740	26153	26788
741	26178	26743
742	26224	26718
743	26268	26691
744	26284	26637
745	26297	26579
746	26325	26536
747	26342	26483
748	26355	26426
749	26388	26388
750	26407	26336
751	26446	26306
752	26471	26260
753	26514	26233
754	26528	26176
755	26568	26146
756	26578	26087
757	26603	26042
758	26640	26009
759	26676	25974
760	26717	25945
761	26735	25893
762	26784	25872
763	26804	25822
764	26830	25778
765	26879	25757
766	26922	25729
767	26975	25710
768	27020	25685
769	27069	25663
770	27109	25632
771	27162	25614
772	27209	25590
773	27259	25569
774	27281	25521
775	27310	25480
776	27326	25427
777	27369	25399
778	27412	25371
779	27452	25340
780	27469	25288
781	27509	25257
782	27551	25228
783	27578	25186
784	27622	25159
785	27634	25102
786	27673	25071
787	27715	25042
788	27754	25010
789	27781	24968
790	27819	24935
791	27845	24892
792	27889	24864
793	27929	24833
794	27974	24807
795	28017	24778
796	28034	24727
797	28076	24699
798	28122	24673
799	28162	24641
800	28210	24618
801	28251	24588
802	28289	24555
803	28324	24519
804	28354	24480
805	28400	24453
806	28417	24403
807	28462	24376
808	28512	24353
809	28538	24310
810	28583	24283
811	28623	24252
812	28669	24225
813	28714	24198
814	28761	24173
815	28803	24143
816	28849	24117
817	28893	24089
818	28911	24040
819	28937	23996
820	28980	23968
821	29021	23937
822	29067	23910
823	29107	23879
824	29145	23845
825	29169	23801
826	29216	23775
827	29261	23748
828	29303	23718
829	29339	23684
830	29386	23657
831	29427	23627
832	29449	23580
833	29486	23546
834	29529	23517
835	29551	23471
836	29590	23439
837	29631	23408
838	29668	23374
839	29710	23343
840	29745	23308
841	29785	23276
842	29824	23244
843	29850	23201
844	29876	23159
845	29914	23125
846	29927	23073
847	29967	23041
848	30011	23012
849	30049	22978
850	30090	22947
851	30131	22916
852	30173	22886
853	30219	22859
854	30263	22830
855	30275	22777
856	30317	22747
857	30361	22718
858	30400	22685
859	30433	22647
860	30473	22615
861	30518	22587
862	30562	22558
863	30606	22529
864	30632	22487
865	30676	22458
866	30714	22425
867	30762	22398
868	30805	22368
869	30850	22340
870	30873	22295
871	30916	22265
872	30962	22237
873	30998	22202
874	31042	22172
875	31080	22139
876	31122	22108
877	31164	22077
878	31206	22046
879	31244	22013
880	31289	21984
881	31330	21952
882	31361	21913
883	31405	21884
884	31447	21853
885	31490	21823
886	31536	21794
887	31575	21761
888	31602	21720
889	31622	21673
890	31667	21644
891	31710	21614
892	31749	21581
893	31794	21551
894	31835	21520
895	31882	21492
896	31921	21458
897	31970	21432
898	32007	21397
899	32050	21367
900	32080	21327
901	32124	21297
902	32163	21264
903	32179	21215
904	32223	21185
905	32270	21157
906	32309	21124
907	32347	21090
908	32377	21050
909	32417	21018
910	32454	20983
911	32497	20952
912	32533	20916
913	32578	20886
914	32618	20854
915	32664	20825
916	32707	20794
917	32745	20760
918	32785	20727
919	32836	20701
920	32852	20652
921	32879	20611
922	32910	20573
923	32951	20540
924	32970	20494
925	33010	20462
926	33047	20427
927	33075	20387
928	33091	20339
929	33110	20293
930	33149	20259
931	33191	20228
932	33230	20194
933	33275	20164
934	33313	20130
935	33358	20100
936	33397	20066
937	33441	20036
938	33486	20006
939	33502	19959
940	33514	19909
941	33551	19874
942	33591	19841
943	33628	19806
944	33665	19772
945	33705	19738
946	33727	19695
947	33768	19662
948	33806	19628
949	33818	19578
950	33861	19547
951	33886	19506
952	33903	19459
953	33940	19425
954	33978	19390
955	34017	19357
956	34064	19328
957	34097	19291
958	34138	19258
959	34176	19224
960	34196	19180
961	34214	19134
962	34235	19090
963	34276	19058
964	34317	19025
965	34356	18992
966	34397	18959
967	34410	18911
968	34455	18881
969	34494	18847
970	34524	18808
971	34548	18767
972	34586	18732
973	34622	18697
974	34664	18665
975	34701	18630
976	34745	18599
977	34790	18568
978	34824	18532
979	34837	18485
980	34879	18452
981	34920	18420
982	34944	18378
983	34971	18338
984	35007	18303
985	35048	18270
986	35092	18239
987	35130	18205
988	35145	18159
989	35185	18125
990	35215	18087
991	35263	18058
992	35277	18011
993	35323	17981
994	35364	17948
995	35409	17918
996	35456	17888
997	35497	17855
998	35547	17827
999	35593	17796
1000	35621	17757
1001	35668	17727
1002	35707	17693
1003	35753	17663
1004	35771	17618
1005	35811	17585
1006	35856	17554
1007	35903	17524
1008	35946	17492
1009	35991	17461
1010	36027	17425
1011	36068	17392
1012	36103	17356
1013	36132	17318
1014	36173	17285
1015	36213	17251
1016	36253	17217
1017	36295	17184
1018	36331	17149
1019	36375	17117
1020	36411	17082
1021	36425	17036
1022	36462	17001
1023	36500	16967
1024	36541	16934
1025	36578	16898
1026	36619	16865
1027	36656	16830
1028	36695	16796
1029	36735	16762
1030	36770	16726
1031	36814	16695
1032	36850	16659
1033	36879	16620
1034	36919	16587
1035	36958	16552
1036	37004	16521
1037	37034	16483
1038	37076	16450
1039	37093	16406
1040	37143	16377
1041	37183	16343
1042	37218	16307
1043	37266	16277
1044	37301	16241
1045	37346	16209
1046	37384	16174
1047	37430	16143
1048	37473	16110
1049	37508	16075
1050	37547	16040
1051	37591	16008
1052	37627	15972
1053	37670	15940
1054	37706	15904
1055	37738	15867
1056	37778	15833
1057	37814	15797
1058	37857	15764
1059	37895	15730
1060	37938	15697
1061	37975	15662
1062	38016	15628
1063	38051	15592
1064	38071	15550
1065	38109	15515
1066	38152	15482
1067	38186	15446
1068	38225	15411
1069	38252	15372
1070	38297	15340
1071	38317	15298
1072	38359	15265
1073	38395	15229
1074	38413	15186
1075	38451	15152
1076	38489	15117
1077	38532	15084
1078	38572	15050
1079	38608	15014
1080	38655	14983
1081	38690	14946
1082	38720	14908
1083	38760	14874
1084	38784	14834
1085	38822	14799
1086	38865	14766
1087	38906	14732
1088	38941	14696
1089	38981	14662
1090	39019	14627
1091	39054	14591
1092	39094	14557
1093	39129	14521
1094	39173	14488
1095	39210	14453
1096	39252	14419
1097	39291	14385
1098	39336	14352
1099	39374	14317
1100	39414	14283
1101	39443	14245
1102	39480	14210
1103	39514	14173
1104	39555	14139
1105	39595	14105
1106	39638	14072
1107	39676	14037
1108	39716	14002
1109	39753	13967
1110	39796	13934
1111	39836	13899
1112	39877	13865
1113	39918	13831
1114	39958	13797
1115	39994	13761
1116	40034	13727
1117	40069	13691
1118	40112	13657
1119	40146	13621
1120	40186	13586
1121	40221	13550
1122	40264	13517
1123	40302	13481
1124	40344	13448
1125	40380	13412
1126	40421	13378
1127	40457	13342
1128	40497	13307
1129	40531	13271
1130	40575	13238
1131	40611	13202
1132	40640	13164
1133	40678	13129
1134	40714	13093
1135	40753	13058
1136	40794	13024
1137	40836	12990
1138	40873	12954
1139	40914	12920
1140	40949	12884
1141	40989	12849
1142	41027	12814
1143	41070	12780
1144	41104	12744
1145	41147	12710
1146	41187	12675
1147	41224	12640
1148	41270	12607
1149	41315	12574
1150	41339	12534
1151	41379	12500
1152	41417	12464
1153	41460	12430
1154	41500	12396
1155	41544	12362
1156	41579	12326
1157	41620	12292
1158	41658	12256
1159	41698	12221
1160	41735	12186
1161	41776	12151
1162	41810	12115
1163	41855	12081
1164	41893	12046
1165	41930	12010
1166	41982	11979
1167	42019	11943
1168	42064	11910
1169	42106	11876
1170	42146	11841
1171	42191	11807
1172	42226	11771
1173	42268	11737
1174	42308	11702
1175	42348	11667
1176	42383	11631
1177	42429	11597
1178	42467	11562
1179	42507	11527
1180	42543	11491
1181	42583	11456
1182	42621	11421
1183	42661	11385
1184	42695	11349
1185	42738	11315
1186	42773	11278
1187	42817	11244
1188	42859	11210
1189	42889	11172
1190	42930	11138
1191	42964	11101
1192	43004	11066
1193	43042	11031
1194	43085	10996
1195	43124	10961
1196	43163	10926
1197	43199	10890
1198	43243	10855
1199	43283	10820
1200	43323	10785
1201	43364	10750
1202	43399	10714
1203	43441	10679
1204	43481	10644
1205	43516	10608
1206	43560	10574
1207	43598	10538
1208	43641	10504
1209	43679	10468
1210	43721	10433
1211	43761	10398
1212	43802	10363
1213	43839	10328
1214	43881	10293
1215	43916	10256
1216	43959	10222
1217	43995	10186
1218	44037	10151
1219	44072	10114
1220	44113	10080
1221	44149	10043
1222	44189	10008
1223	44230	9973
1224	44272	9938
1225	44313	9903
1226	44351	9868
1227	44390	9832
1228	44425	9796
1229	44468	9761
1230	44505	9725
1231	44545	9690
1232	44580	9653
1233	44619	9618
1234	44654	9581
1235	44696	9546
1236	44732	9510
1237	44774	9475
1238	44813	9440
1239	44852	9404
1240	44894	9369
1241	44937	9334
1242	44978	9299
1243	45017	9264
1244	45058	9228
1245	45094	9192
1246	45136	9157
1247	45177	9122
1248	45220	9087
1249	45257	9051
1250	45301	9016
1251	45339	8980
1252	45382	8946
1253	45417	8909
1254	45455	8873
1255	45490	8837
1256	45531	8802
1257	45572	8766
1258	45612	8731
1259	45649	8695
1260	45697	8661
1261	45734	8624
1262	45777	8590
1263	45816	8554
1264	45856	8518
1265	45893	8482
1266	45935	8447
1267	45973	8411
1268	46018	8376
1269	46057	8341
1270	46097	8305
1271	46133	8269
1272	46174	8233
1273	46210	8197
1274	46253	8162
1275	46302	8128
1276	46347	8093
1277	46387	8057
1278	46429	8022
1279	46466	7986
1280	46508	7951
1281	46544	7914
1282	46585	7879
1283	46620	7842
1284	46664	7807
1285	46704	7772
1286	46749	7737
1287	46792	7701
1288	46833	7666
1289	46869	7629
1290	46911	7594
1291	46955	7559
1292	46996	7523
1293	47031	7487
1294	47071	7451
1295	47105	7414
1296	47148	7379
1297	47184	7343
1298	47225	7307
1299	47261	7270
1300	47321	7238
1301	47366	7203
1302	47407	7167
1303	47442	7130
1304	47482	7095
1305	47523	7059
1306	47566	7023
1307	47610	6988
1308	47654	6953
1309	47699	6918
1310	47739	6882
1311	47776	6846
1312	47825	6811
1313	47864	6775
1314	47905	6739
1315	47944	6703
1316	47987	6668
1317	48026	6631
1318	48073	6596
1319	48111	6560
1320	48152	6524
1321	48188	6488
1322	48231	6452
1323	48268	6416
1324	48314	6381
1325	48356	6345
1326	48410	6311
1327	48456	6275
1328	48499	6240
1329	48537	6204
1330	48584	6168
1331	48627	6133
1332	48672	6097
1333	48708	6061
1334	48750	6025
1335	48786	5988
1336	48827	5952
1337	48867	5916
1338	48911	5881
1339	48948	5844
1340	48996	5809
1341	49033	5772
1342	49080	5737
1343	49119	5701
1344	49158	5665
1345	49198	5628
1346	49243	5593
1347	49284	5557
1348	49334	5522
1349	49371	5485
1350	49413	5449
1351	49455	5413
1352	49491	5377
1353	49537	5341
1354	49580	5305
1355	49616	5269
1356	49660	5233
1357	49703	5197
1358	49749	5161
1359	49786	5125
1360	49829	5089
1361	49867	5052
1362	49910	5016
1363	49944	4979
1364	49987	4943
1365	50024	4907
1366	50066	4871
1367	50103	4834
1368	50145	4798
1369	50181	4761
1370	50223	4725
1371	50262	4689
1372	50306	4653
1373	50349	4617
1374	50394	4581
1375	50432	4544
1376	50472	4508
1377	50510	4471
1378	50552	4435
1379	50590	4399
1380	50635	4363
1381	50677	4327
1382	50716	4290
1383	50756	4254
1384	50794	4217
1385	50838	4181
1386	50879	4145
1387	50922	4109
1388	50961	4072
1389	50999	4035
1390	51036	3999
1391	51079	3963
1392	51121	3926
1393	51160	3890
1394	51200	3853
1395	51237	3817
1396	51288	3781
1397	51329	3745
1398	51365	3708
1399	51409	3672
1400	51445	3635
1401	51488	3599
1402	51527	3562
1403	51568	3526
1404	51605	3489
1405	51647	3452
1406	51684	3416
1407	51730	3380
1408	51767	3343
1409	51808	3306
1410	51844	3270
1411	51888	3233
1412	51926	3197
1413	51972	3160
1414	52012	3124
1415	52056	3088
1416	52094	3051
1417	52135	3014
1418	52172	2978
1419	52215	2941
1420	52255	2905
1421	52297	2868
1422	52336	2832
1423	52380	2795
1424	52422	2759
1425	52459	2722
1426	52502	2685
1427	52539	2649
1428	52582	2612
1429	52622	2575
1430	52668	2539
1431	52708	2502
1432	52750	2466
1433	52785	2429
1434	52828	2392
1435	52880	2356
1436	52917	2319
1437	52961	2283
1438	52995	2246
1439	53034	2209
1440	53076	2173
1441	53120	2136
1442	53157	2099
1443	53197	2063
1444	53234	2026
1445	53276	1989
1446	53313	1952
1447	53364	1916
1448	53400	1879
1449	53441	1842
1450	53477	1805
1451	53520	1769
1452	53557	1732
1453	53596	1695
1454	53632	1658
1455	53674	1622
1456	53710	1585
1457	53755	1548
1458	53796	1511
1459	53832	1474
1460	53876	1438
1461	53915	1401
1462	53953	1364
1463	53998	1327
1464	54035	1290
1465	54081	1254
1466	54117	1217
1467	54159	1180
1468	54197	1143
1469	54239	1106
1470	54277	1070
1471	54317	1033
1472	54366	996
1473	54403	959
1474	54448	922
1475	54484	885
1476	54523	849
1477	54559	812
1478	54604	775
1479	54648	738
1480	54688	701
1481	54723	664
1482	54765	627
1483	54805	590
1484	54848	554
1485	54885	517
1486	54924	480
1487	54964	443
1488	55008	406
1489	55044	369
1490	55088	332
1491	55125	295
1492	55167	258
1493	55208	221
1494	55248	184
1495	55287	147
1496	55331	110
1497	55371	73
1498	55411	36
1499	55450	0
