iter	Passed	Remaining
0	94	141129
1	130	97602
2	169	84510
3	205	76894
4	243	72714
5	274	68362
6	334	71302
7	370	69113
8	398	66076
9	439	65447
10	453	61353
11	495	61478
12	541	61987
13	601	63824
14	635	62935
15	682	63341
16	719	62752
17	760	62585
18	788	61486
19	815	60319
20	855	60228
21	890	59856
22	932	59900
23	970	59669
24	1006	59386
25	1047	59393
26	1087	59346
27	1109	58325
28	1147	58200
29	1192	58420
30	1231	58366
31	1269	58254
32	1309	58234
33	1338	57734
34	1372	57452
35	1386	56394
36	1422	56249
37	1457	56061
38	1499	56170
39	1522	55584
40	1566	55744
41	1603	55649
42	1643	55699
43	1685	55776
44	1732	56019
45	1757	55564
46	1797	55564
47	1835	55535
48	1876	55571
49	1888	54775
50	1930	54853
51	1965	54724
52	2005	54758
53	2040	54640
54	2059	54118
55	2102	54226
56	2119	53646
57	2129	52950
58	2169	52993
59	2185	52440
60	2197	51839
61	2225	51621
62	2259	51530
63	2304	51699
64	2318	51196
65	2349	51051
66	2393	51189
67	2432	51216
68	2462	51060
69	2480	50677
70	2522	50760
71	2562	50813
72	2607	50966
73	2648	51041
74	2694	51201
75	2735	51262
76	2776	51307
77	2793	50933
78	2839	51083
79	2879	51115
80	2916	51089
81	2958	51161
82	2991	51071
83	3008	50716
84	3055	50857
85	3103	51030
86	3141	51029
87	3189	51180
88	3213	50940
89	3255	51002
90	3297	51060
91	3331	50990
92	3360	50844
93	3380	50558
94	3427	50691
95	3446	50409
96	3454	49972
97	3469	49636
98	3483	49303
99	3518	49262
100	3564	49380
101	3583	49119
102	3628	49209
103	3641	48883
104	3691	49042
105	3729	49040
106	3743	48732
107	3755	48401
108	3787	48328
109	3800	48021
110	3843	48099
111	3858	47820
112	3900	47882
113	3932	47814
114	3971	47828
115	3982	47513
116	4007	47375
117	4048	47412
118	4098	47560
119	4104	47199
120	4121	46971
121	4162	47011
122	4168	46668
123	4174	46328
124	4217	46393
125	4244	46289
126	4287	46346
127	4303	46123
128	4327	45991
129	4368	46038
130	4388	45863
131	4402	45630
132	4424	45473
133	4461	45484
134	4504	45545
135	4541	45551
136	4585	45621
137	4625	45654
138	4666	45686
139	4708	45742
140	4726	45559
141	4744	45369
142	4758	45160
143	4799	45197
144	4835	45183
145	4849	44973
146	4875	44878
147	4894	44713
148	4903	44459
149	4942	44484
150	4982	44513
151	5008	44416
152	5021	44207
153	5042	44076
154	5087	44150
155	5128	44186
156	5139	43963
157	5171	43925
158	5213	43974
159	5252	43987
160	5292	44017
161	5312	43873
162	5342	43824
163	5354	43621
164	5400	43692
165	5439	43716
166	5462	43603
167	5479	43442
168	5489	43233
169	5506	43077
170	5549	43130
171	5561	42941
172	5586	42854
173	5628	42896
174	5635	42669
175	5665	42619
176	5694	42561
177	5738	42618
178	5775	42621
179	5793	42488
180	5824	42447
181	5833	42247
182	5851	42108
183	5870	41990
184	5881	41804
185	5924	41852
186	5939	41701
187	5964	41626
188	6003	41645
189	6018	41496
190	6047	41446
191	6059	41281
192	6102	41325
193	6114	41163
194	6132	41041
195	6151	40925
196	6189	40940
197	6233	40992
198	6272	41010
199	6313	41037
200	6329	40904
201	6343	40762
202	6376	40741
203	6390	40597
204	6413	40513
205	6453	40539
206	6466	40394
207	6483	40270
208	6519	40272
209	6540	40179
210	6577	40184
211	6620	40224
212	6631	40071
213	6672	40098
214	6713	40123
215	6736	40042
216	6773	40047
217	6816	40083
218	6827	39937
219	6869	39966
220	6914	40015
221	6931	39900
222	6973	39933
223	7015	39965
224	7051	39956
225	7069	39852
226	7112	39885
227	7128	39768
228	7171	39801
229	7191	39707
230	7234	39745
231	7264	39706
232	7274	39559
233	7289	39437
234	7330	39457
235	7342	39328
236	7384	39351
237	7429	39393
238	7438	39248
239	7476	39249
240	7511	39240
241	7539	39195
242	7585	39240
243	7592	39081
244	7624	39058
245	7649	38996
246	7681	38967
247	7718	38963
248	7725	38813
249	7764	38821
250	7804	38837
251	7851	38883
252	7863	38759
253	7900	38755
254	7943	38783
255	7993	38845
256	8005	38719
257	8021	38614
258	8036	38508
259	8052	38404
260	8095	38429
261	8134	38437
262	8156	38362
263	8197	38380
264	8217	38297
